x [mm], y [mm], u [m/s], v [m/s]
3.500000000000000000e+01, -5.500000000000000000e+01, 1.097829818725585938e+01, 3.527826964855194092e-01
4.500000000000000000e+01, -5.500000000000000000e+01, 1.077109527587890625e+01, 3.889566659927368164e-01
5.500000000000000000e+01, -5.500000000000000000e+01, 1.061744308471679688e+01, 3.204950392246246338e-01
6.500000000000000000e+01, -5.500000000000000000e+01, 1.053836631774902344e+01, 2.622398436069488525e-01
7.500000000000000000e+01, -5.500000000000000000e+01, 1.051654624938964844e+01, 2.663308978080749512e-01
8.500000000000000000e+01, -5.500000000000000000e+01, 1.046735000610351562e+01, 2.659489512443542480e-01
9.500000000000000000e+01, -5.500000000000000000e+01, 1.039261245727539062e+01, 2.532340884208679199e-01
1.050000000000000000e+02, -5.500000000000000000e+01, 1.028428745269775391e+01, 2.329231351613998413e-01
1.150000000000000000e+02, -5.500000000000000000e+01, 1.029638671875000000e+01, 1.296547204256057739e-01
1.250000000000000000e+02, -5.500000000000000000e+01, 1.032789230346679688e+01, 5.447771400213241577e-02
1.350000000000000000e+02, -5.500000000000000000e+01, 1.035088920593261719e+01, 2.544161677360534668e-02
1.450000000000000000e+02, -5.500000000000000000e+01, 1.044312858581542969e+01, 2.823338657617568970e-02
1.550000000000000000e+02, -5.500000000000000000e+01, 1.061374950408935547e+01, 4.542508348822593689e-02
1.650000000000000000e+02, -5.500000000000000000e+01, 1.080156993865966797e+01, 6.901881098747253418e-02
1.750000000000000000e+02, -5.500000000000000000e+01, 1.094602012634277344e+01, 1.472805887460708618e-01
1.850000000000000000e+02, -5.500000000000000000e+01, 1.104562568664550781e+01, 3.090381324291229248e-01
1.950000000000000000e+02, -5.500000000000000000e+01, 1.093217086791992188e+01, 3.072678148746490479e-01
-1.950000000000000000e+02, -4.500000000000000000e+01, 9.934933662414550781e+00, 1.722611784934997559e-01
-1.850000000000000000e+02, -4.500000000000000000e+01, 9.946009635925292969e+00, 2.056830227375030518e-01
-1.750000000000000000e+02, -4.500000000000000000e+01, 9.956352233886718750e+00, 2.330600023269653320e-01
-1.650000000000000000e+02, -4.500000000000000000e+01, 9.962658882141113281e+00, 2.542430460453033447e-01
-1.550000000000000000e+02, -4.500000000000000000e+01, 9.944338798522949219e+00, 2.687263786792755127e-01
-1.450000000000000000e+02, -4.500000000000000000e+01, 9.881677627563476562e+00, 2.944266796112060547e-01
